YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 05 23 00 302 10.3 12.5  3.50 10.00  6.67 999 1040.9   4.3   5.1 999.0 99.0 99.00
2005 01 06 00 00 301  9.2 11.9  3.42 10.00  6.97 999 1040.9   4.4   5.1 999.0 99.0 99.00
2005 01 06 01 00 291  8.2 10.1  3.37 10.00  6.96 999 1040.8   4.4   5.1 999.0 99.0 99.00
2005 01 06 02 00 281  8.7 10.3  3.46  9.09  6.98 999 1040.8   4.6   5.1 999.0 99.0 99.00
2005 01 06 03 00 285  9.4 10.9  3.26  8.33  6.84 999 1041.1   4.7   5.1 999.0 99.0 99.00
2005 01 06 04 00 285  9.3 10.8  3.30  9.09  6.79 999 1040.9   4.8   5.1 999.0 99.0 99.00
2005 01 06 05 00 277  8.6 10.1  2.72  8.33  6.36 999 1040.6   4.9   5.1 999.0 99.0 99.00
2005 01 06 06 00 290  8.3  9.9  2.77  9.09  6.36 999 1040.7   5.2   5.1 999.0 99.0 99.00
2005 01 06 07 00 292  7.9  9.5  2.61  8.33  6.18 999 1041.2   5.5   5.1 999.0 99.0 99.00
2005 01 06 08 00 293 10.4 12.4  2.66 12.50  6.40 999 1041.1   5.5   5.1 999.0 99.0 99.00
2005 01 06 09 00 293 10.1 12.7  2.57 12.50  6.02 999 1041.3   5.6   5.1 999.0 99.0 99.00
2005 01 06 10 00 307  9.6 11.8  2.78 11.11  6.32 999 1042.0   5.6   5.1 999.0 99.0 99.00
2005 01 06 11 00 308  8.8 10.4  2.67  9.09  6.48 999 1042.2   5.6   5.1 999.0 99.0 99.00
2005 01 06 12 00 314  8.5 10.6  2.82 11.11  6.34 999 1042.3   5.6   5.1 999.0 99.0 99.00
2005 01 06 13 00 332  9.3 11.7  2.91  7.69  6.45 999 1042.2   5.8   5.1 999.0 99.0 99.00
2005 01 06 14 00 336  7.8  9.6  3.21 10.00  6.59 999 1042.4   5.6   5.1 999.0 99.0 99.00
2005 01 06 15 00 337  6.8  8.5  3.34  9.09  7.12 999 1042.4   5.5   5.1 999.0 99.0 99.00
2005 01 06 16 00 325  7.4  8.9  2.94  7.69  6.85 999 1042.3   5.5   5.1 999.0 99.0 99.00
2005 01 06 17 00 345  6.9  8.7  3.04  7.69  6.98 999 1041.6   5.5   5.1 999.0 99.0 99.00
2005 01 06 18 00 350  5.1  7.9  2.94  9.09  7.14 999 1042.3   5.4   5.1 999.0 99.0 99.00
2005 01 06 19 00 305  5.2  6.4  2.78 12.50  7.11 999 1042.2   5.2   5.1 999.0 99.0 99.00
